,congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,Congress,ID #,committees,bioguide
0,74,President,99899.0,99,0,USA,100,0.0,0.0,"ROOSEVELT, Franklin Delano",,1882.0,1945.0,-0.368,0.245,-1.60485,0.951,32.0,0.0,,,,,,,
1,74,House,406.0,41,7,AL,100,0.0,1.0,"BANKHEAD, William Brockman",B000113,1874.0,1940.0,-0.307,0.614,-9.67575,0.871,70.0,4.0,,-0.532,0.39299999999999996,,,,
2,74,House,937.0,41,1,AL,100,2.0,2.0,"BOYKIN, Frank William",B000725,1885.0,1969.0,-0.105,0.8490000000000001,-15.715160000000001,0.794,68.0,7.0,,-0.384,0.28300000000000003,,,,
3,74,House,1514.0,41,8,AL,100,0.0,1.0,"CARMICHAEL, Archibald Hill",C000159,1864.0,1947.0,-0.215,0.466,-44.81232,0.7559999999999999,160.0,21.0,,-0.177,0.376,,,,
4,74,House,4418.0,41,2,AL,100,0.0,1.0,"HILL, Joseph Lister",H000598,1894.0,1984.0,-0.265,0.851,-39.49068,0.809,186.0,21.0,,-0.26,0.86,,,,
5,74,House,4471.0,41,4,AL,100,0.0,1.0,"HOBBS, Samuel Francis",H000663,1887.0,1952.0,-0.17600000000000002,0.9840000000000001,-70.14928,0.662,170.0,35.0,,-0.077,0.872,,,,
6,74,House,4685.0,41,9,AL,100,0.0,1.0,"HUDDLESTON, George",H000903,1869.0,1960.0,-0.076,0.997,-127.16377,0.503,185.0,52.0,,0.053,0.648,,,,
7,74,House,6233.0,41,1,AL,100,1.0,1.0,"McDUFFIE, John",M000427,1883.0,1950.0,-0.439,0.14,,,,,,-0.419,0.802,,,,
8,74,House,7064.0,41,6,AL,100,0.0,1.0,"OLIVER, William Bacon",O000077,1867.0,1948.0,-0.325,0.643,-24.6556,0.68,64.0,12.0,,-0.057999999999999996,0.998,,,,
9,74,House,8855.0,41,5,AL,100,0.0,1.0,"STARNES, Joe",S000816,1895.0,1962.0,-0.087,0.996,-39.61918,0.794,172.0,18.0,,-0.204,0.9540000000000001,,,,
10,74,House,8858.0,41,3,AL,100,0.0,1.0,"STEAGALL, Henry Bascom",S000820,1873.0,1943.0,-0.326,0.945,-32.749829999999996,0.7829999999999999,134.0,18.0,,-0.457,0.7909999999999999,,,,
11,74,House,3799.0,61,1,AZ,100,0.0,1.0,"GREENWAY, Isabella Selmes",G000435,1886.0,1953.0,-0.373,-0.6579999999999999,-56.3074,0.687,150.0,32.0,,-0.348,-0.596,,,,
12,74,House,2156.0,42,4,AR,100,0.0,1.0,"CRAVENS, William Ben",C000886,1872.0,1939.0,-0.251,0.349,-54.1269,0.75,188.0,21.0,,-0.184,0.408,,,,
13,74,House,2732.0,42,1,AR,100,0.0,1.0,"DRIVER, William Joshua",D000503,1873.0,1948.0,-0.21100000000000002,0.698,-41.49973,0.7959999999999999,182.0,19.0,,-0.24,0.735,,,,
14,74,House,3394.0,42,3,AR,100,0.0,1.0,"FULLER, Claude Albert",F000408,1876.0,1968.0,-0.131,0.878,-49.92535,0.7609999999999999,183.0,23.0,,-0.158,0.649,,,,
15,74,House,6151.0,42,6,AR,100,0.0,1.0,"McCLELLAN, John Little",M000332,1896.0,1977.0,0.017,0.9620000000000001,-56.92511,0.728,179.0,22.0,,-0.102,0.945,,,,
16,74,House,6492.0,42,2,AR,100,0.0,1.0,"MILLER, John Elvis",M000738,1888.0,1981.0,-0.079,0.737,-52.189640000000004,0.723,161.0,23.0,,-0.066,0.998,,,,
17,74,House,7208.0,42,7,AR,100,0.0,1.0,"PARKS, Tilman Bacon",P000075,1872.0,1950.0,-0.249,0.9590000000000001,-26.00253,0.812,125.0,10.0,,-0.273,0.5670000000000001,,,,
18,74,House,9262.0,42,5,AR,100,0.0,1.0,"TERRY, David Dickson",T000133,1881.0,1963.0,-0.159,0.841,-61.68812,0.736,201.0,25.0,,-0.21899999999999997,0.805,,,,
19,74,House,1198.0,71,3,CA,100,0.0,1.0,"BUCK, Frank Henry",B001017,1887.0,1942.0,-0.184,0.38299999999999995,-54.1902,0.7509999999999999,189.0,30.0,,-0.265,0.375,,,,
20,74,House,1294.0,71,20,CA,200,0.0,1.0,"BURNHAM, George",B001124,1868.0,1939.0,0.175,-0.335,-54.905280000000005,0.6970000000000001,152.0,20.0,,0.187,-0.152,,,,
21,74,House,1545.0,71,6,CA,200,0.0,1.0,"CARTER, Albert Edward",C000195,1881.0,1964.0,0.163,-0.423,-59.518769999999996,0.624,126.0,24.0,,0.147,-0.061,,,,
22,74,House,1919.0,71,17,CA,100,0.0,1.0,"COLDEN, Charles J.",C000605,1870.0,1938.0,-0.32799999999999996,0.406,-75.15531999999999,0.6940000000000001,206.0,38.0,,-0.215,0.856,,,,
23,74,House,1950.0,71,19,CA,200,0.0,1.0,"COLLINS, Samuel LaFort",C000643,1895.0,1965.0,0.192,-0.114,-57.918569999999995,0.647,133.0,27.0,,0.196,-0.128,,,,
