body,name,thomas_id,CommitteeCode
House,Committee on Agriculture,HSAG,102
House,Committee on Agriculture,HSAG,102
House,Committee on Agriculture,HSAG,102
House,Committee on Agriculture,HSAG,102
House,Committee on Agriculture,HSAG,102
House,Committee on Agriculture,HSAG,102
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Appropriations,HSAP,104
House,Committee on Armed Services,HSAS,106
House,Committee on Armed Services,HSAS,106
House,Committee on Armed Services,HSAS,106
House,Committee on Armed Services,HSAS,106
House,Committee on Armed Services,HSAS,106
House,Committee on Armed Services,HSAS,106
House,Committee on Armed Services,HSAS,106
House,Committee on Financial Services,HSBA,113
House,Committee on Financial Services,HSBA,113
House,Committee on Financial Services,HSBA,113
House,Committee on Financial Services,HSBA,113
House,Committee on Financial Services,HSBA,113
House,Committee on the Budget,HSBU,115
House,Committee on Education and the Workforce,HSED,124
House,Committee on Education and the Workforce,HSED,124
House,Committee on Education and the Workforce,HSED,124
House,Committee on Education and the Workforce,HSED,124
House,Committee on Foreign Affairs,HSFA,134
House,Committee on Foreign Affairs,HSFA,134
House,Committee on Foreign Affairs,HSFA,134
House,Committee on Foreign Affairs,HSFA,134
House,Committee on Foreign Affairs,HSFA,134
House,Committee on Foreign Affairs,HSFA,134
House,Committee on Oversight and Government Reform,HSGO,138
House,Committee on Oversight and Government Reform,HSGO,138
House,Committee on Oversight and Government Reform,HSGO,138
House,Committee on Oversight and Government Reform,HSGO,138
House,Committee on Oversight and Government Reform,HSGO,138
House,Committee on Oversight and Government Reform,HSGO,138
House,Committee on House Administration,HSHA,142
House,Committee on Homeland Security,HSHM,251
House,Committee on Homeland Security,HSHM,251
House,Committee on Homeland Security,HSHM,251
House,Committee on Homeland Security,HSHM,251
House,Committee on Homeland Security,HSHM,251
House,Committee on Homeland Security,HSHM,251
House,Committee on Energy and Commerce,HSIF,128
House,Committee on Energy and Commerce,HSIF,128
House,Committee on Energy and Commerce,HSIF,128
House,Committee on Energy and Commerce,HSIF,128
House,Committee on Energy and Commerce,HSIF,128
House,Committee on Energy and Commerce,HSIF,128
House,Committee on Natural Resources,HSII,164
House,Committee on Natural Resources,HSII,164
House,Committee on Natural Resources,HSII,164
House,Committee on Natural Resources,HSII,164
House,Committee on Natural Resources,HSII,164
House,Committee on Natural Resources,HSII,164
House,Permanent Select Committee on Intelligence,HLIG,242
House,Permanent Select Committee on Intelligence,HLIG,242
House,Permanent Select Committee on Intelligence,HLIG,242
House,Permanent Select Committee on Intelligence,HLIG,242
House,Permanent Select Committee on Intelligence,HLIG,242
House,Permanent Select Committee on Intelligence,HLIG,242
House,Permanent Select Committee on Intelligence,HLIG,242
